in FB,Date,Venue,City,State,Show,,,,,,,,,,,,,,,,,,
TRUE,"Thursday, August 31, 1995",New World Music Theatre,Tinley Park,Illinois,Live,PJ Harvey,Veruca Salt,Buffalo Tom,,,,,,,,,,,,,,,
FALSE,"Friday, December 8, 1995",Rosemont Horizon,Rosemont,Illinois,Q101's Twisted Christmas 2,White Zombie,Oasis,Alanis Morissette,Soul Asylum,Porno for Pyros,Goo Goo Dolls,Silverchair,Tripping Daisy,,,,,,,,,,
TRUE,"Friday, March 22, 1996",Metro,Chicago,Illinois,Spacehog,Ruth Ruth,Mr Miraingai,,,,,,,,,,,,,,,,
FALSE,"Friday, July 5, 1996",Aragon Ballroom,Chicago,Illinois,Everclear,Tracy Bonham,Spacehog,Seven Year Bitch,,,,,,,,,,,,,,,
FALSE,"Friday, August 23, 1996",Metro,Chicago,Illinois,Smashing Pumpkins,,,,,,,,,,,,,,,,,,
TRUE,"Friday, September 6, 1996",New World Music Theatre,Tinley Park,Illinois,Neil Yong with Crazy Horse,Dave Matthews Band,Gin Blossoms,,,,,,,,,,,,,,,,
TRUE,"Thursday, October 10, 1996",Odeum,Villa Park,Illinois,Kick-Off Concert,Nada Surf,Primitive Radio Gods,Geggy Tah,,,,,,,,,,,,,,,
,"Thursday, November 21, 1996",Metro,Chicago,Illinois,Dishwalla,Refreshments,Tonic,,,,,,,,,,,,,,,,
FALSE,"Thursday, December 12, 1996",Rosemont Horizon,Rosemont,Illinois,Stone Temple Pilots,Local H,,,,,,,,,,,,,,,,,
,"Saturday, March 1, 1997",Riviera,Chicago,Illinois,Live,Fun Lovin' Criminals,,,,,,,,,,,,,,,,,
TRUE,"Monday, March 10, 1997",Aragon Ballroom,Chicago,Illinois,Counting Crows,Engine 88,,,,,,,,,,,,,,,,,
FALSE,"Thursday, April 24, 1997",Rosemont Horizon,Rosemont,Illinois,Bush,Veruca Salt,,,,,,,,,,,,,,,,,
FALSE,"Sunday, May 25, 1997",New World Music Theatre,Tinley Park,Illinois,Q101's Jamboree '97,Erasure,Bush,Verve Pipe,Beck,Veruca Salt,Cardigans,Jamiroquai,Mighty Mighty Bosstones,Republica,Echo and the Bunnymen,Soul Coughing,Social Distortion,,,,,,
